Name,URN,Postcode,Lat,Lon,Website
Hazelbeck Special School,139977,BD16 1EE,53.8414013,-1.8275401,https://www.hazelbeck.org/
Dixons Trinity Academy,138251,BD5 0BE,53.7864138,-1.7612813,https://www.dixonsta.com/
Otley Prince Henry's Grammar School Specialist Language College,137704,LS21 2BB,53.9125704,-1.6945897,https://www.princehenrys.co.uk/
Carlton Bolling,147100,BD3 0DU,53.8022475,-1.7382033,https://www.carltonbolling.co.uk/
Bradford Academy,135367,BD4 7QJ,53.776937,-1.7322263,https://www.bradfordacademy.co.uk/
Co-op Academy Grange,147177,BD5 9ET,53.7754389,-1.7774531,https://grange.coopacademies.co.uk/
BBG Academy,138111,BD19 4BE,53.7448624,-1.6894071,http://www.bbgacademy.com/
Woodhouse Grove School,108114,BD10 0NR,53.8391148,-1.6986915,https://www.woodhousegrove.co.uk/
Fulneck School,108117,LS28 8DS,53.7841189,-1.6653642,https://www.fulneckschool.co.uk/
Crawshaw Academy,138304,LS28 9HU,53.7932421,-1.656194,https://www.crawshawacademy.org.uk/
Pudsey Grammar School,108079,LS28 7ND,53.8004092,-1.6591737,https://www.pudseygrammar.co.uk/
Titus Salt School,107395,BD17 5RH,53.8429142,-1.7940616,https://www.titussaltschool.co.uk/
Beckfoot School,139975,BD16 1EE,53.8406483,-1.8282424,https://www.beckfoot.org/
Jaamiatul Imaam Muhammad Zakaria,107460,BD14 6JX,53.7757542,-1.8127788,
"St. Mary's Menston, a Catholic Voluntary Academy",139351,LS29 6AE,53.8838655,-1.7269556,https://www.stmarysmenston.org/
South Craven School,136736,BD20 7RL,53.8995585,-1.9882215,https://www.southcraven.org
West Specialist Inclusive Learning Centre (Mainsite),134884,LS28 6HL,53.8088328,-1.6585998,https://www.westsilc.co.uk/
The Crossley Heath School,139182,HX3 0HG,53.7115285,-1.877927,https://www.crossleyheath.org.uk/
Leeds West Academy,135935,LS13 1DQ,53.8147005,-1.6520781,
Immanuel College,142590,BD10 9AQ,53.8426114,-1.7269034,https://www.immanuelcollege.org/
Trinity Academy Grammar,144946,HX6 2NW,53.7139561,-1.9086,https://grammar.trinitymat.org/
Ilkley Grammar School,136905,LS29 8TR,53.9221081,-1.8146902,https://www.ilkleygrammarschool.com/
The Halifax Academy,140326,HX2 0BA,53.7239598,-1.893369,https://www.thehalifaxacademy.org/
The Calder Learning Trust,150387,HX7 5QN,53.7323736,-1.9755596,https://www.calderlearningtrust.com
Bradford Grammar School,107455,BD9 4JP,53.8152003,-1.7691481,https://www.bradfordgrammar.com/
Guiseley School,108085,LS20 8DT,53.8715377,-1.7179556,https://www.guiseleyschool.org.uk/
Brighouse High School,136604,HD6 2NY,53.7132381,-1.7944616,https://www.brighouse.calderdale.sch.uk/
Buttershaw Business & Enterprise College Academy,142825,BD6 3PX,53.7659198,-1.7940873,https://www.buttershaw.net
"Whitcliffe Mount, A Share Academy",149162,BD19 3AQ,53.7268398,-1.7299748,https://www.whitcliffemount.co.uk/
Beckfoot Thornton,143114,BD13 3BH,53.7910413,-1.8196026,https://www.beckfootthornton.org/
Dixons Allerton Academy,135866,BD8 0DH,53.7997309,-1.8119877,https://www.dixonsaa.com
Bradford Girls' Grammar School,140204,BD9 6RB,53.8031663,-1.7964124,https://www.bggs.com/
St Bede's and St Joseph's Catholic College,148520,BD9 4BQ,53.8140333,-1.7858234,https://sbsj.co.uk/
TLG Bradford,134427,BD5 8HH,53.7714624,-1.7489111,http://www.tlgbradford.org.uk
Bradford Alternative Provision Academy,146851,BD18 3JE,53.8367913,-1.7859075,https://www.bradfordapacademy.co.uk/
Beckfoot Upper Heaton,142031,BD9 6AL,53.8186341,-1.811829,https://www.beckfootupperheaton.org/
Belle Vue Girls' Academy,138087,BD9 6NA,53.8198964,-1.8124838,https://www.bvgacademy.co.uk/
High Park School,143533,BD9 6RY,53.8187282,-1.8071853,https://www.highpark.org.uk/
Carlton Keighley,136198,BD20 6EB,53.8789222,-1.916129,https://carltonkeighley.org.uk/
The North Halifax Grammar School,136788,HX2 9SU,53.7554809,-1.8807759,https://www.nhgs.co.uk/
Benton Park School,108083,LS19 6LX,53.8569646,-1.6829091,https://www.bentonpark.org.uk/
Bingley Grammar School,107439,BD16 2RS,53.8553895,-1.8467535,https://www.bingleygrammar.org/
Trinity Academy Bradford,148545,BD13 2AS,53.7645495,-1.8465963,https://bradford.trinitymat.org
Brooklands School,121778,BD23 2DB,53.9544928,-2.0224166,https://www.brooklands.n-yorks.sch.uk/
The Holy Family Catholic School,149299,BD20 6LH,53.8757291,-1.9178323,https://www.holyfamilyschool.uk/
Dixons Cottingley Academy,146198,BD16 1TZ,53.8302533,-1.8168852,https://www.dixonsco.com/
Parkside School,150001,BD13 5AD,53.8269641,-1.8915397,https://www.parksideschool.net/
Beckfoot Oakbank,143112,BD22 7DU,53.8547968,-1.92527,http://www.oakbank.org.uk
Hanson Academy,149011,BD2 1JP,53.8182846,-1.743299,https://hanson.org.uk/
Appleton Academy,145173,BD12 8AL,53.7422339,-1.7730158,https://appletonacademy.co.uk/
Dixons City Academy,130909,BD5 7RR,53.780192,-1.7569034,https://www.dixonsca.com/
Lightcliffe Academy,137036,HX3 8TL,53.7217837,-1.7901928,https://www.lightcliffeacademy.co.uk/
Hipperholme Grammar School,107585,HX3 8JE,53.7288351,-1.8130445,https://www.hgsf.org.uk/
Hipperholme Grammar School,107585,HX3 8JE,53.7256316,-1.8059831,https://www.hgsf.org.uk/
The Whitley AP Academy,146204,HX2 9SR,53.7560663,-1.8859147,https://twapa.co.uk/
The Whitley AP Academy,146204,HX2 9SR,53.7569575,-1.8811794,https://twapa.co.uk/
Bradford Christian School,107461,BD2 1BT,53.8201895,-1.7603916,https://bradfordchristianschool.com/
Feversham Girls' Secondary Academy,136962,BD3 0LT,53.8056783,-1.7471429,https://www.fga.iexel.org.uk/
Oastlers School,149519,BD4 7RH,53.7779598,-1.7370355,https://www.oastlers.com/
Tong Leadership Academy,142761,BD4 6NR,53.7649195,-1.6972069,http://www.tongschool.co.uk/
Dixons Kings Academy,137277,BD7 2AN,53.7899115,-1.7881952,https://www.dixonska.com/
Laisterdyke Leadership Academy,142681,BD3 8HE,53.7967168,-1.7151923,https://www.laisterdykeleadershipacademy.com/
The Fountain School,134587,BD5 8BP,53.7758548,-1.7537477,
Al Mumin Primary and Secondary School,134429,BD8 7DA,53.8060766,-1.7610324,https://www.almumin.bradford.sch.uk/
Eternal Light Secondary School,136189,BD5 9DH,53.7761324,-1.7709192,https://eternallightschool.co.uk/
Broadwood School,131960,HX2 0RU,53.7332924,-1.9034431,http://www.keyschildcare.co.uk/services/education/broadwood/
Darul Uloom Dawatul Imaan,134140,BD4 9PH,53.7752415,-1.7247212,https://www.dawatulimaan.org/
Oasis Academy Lister Park,139995,BD8 7ND,53.8154644,-1.7662401,https://www.oasisacademylisterpark.org/
Craven Pupil Referral Service,135851,BD23 2QS,53.9476636,-2.0163528,http://www.cravenprs.org.uk
Co-op Academy Priesthorpe,144588,LS28 5SG,53.8093937,-1.6878234,https://www.priesthorpe.coopacademies.co.uk/
Prism Independent School,137785,BD8 9ES,53.8001567,-1.7815044,https://www.prismindependentschool.org/
Bradford Forster Academy,140429,BD4 8RG,53.7799027,-1.723678,https://bradfordforsteracademy.co.uk/
Trinity Academy Halifax,136094,HX2 9TZ,53.7539277,-1.8771492,https://halifax.trinitymat.org
Green Meadows Academy,148654,LS20 8LS,53.8743268,-1.7216074,https://greenmeadows.org.uk/
Fairfield School,107802,WF17 8AS,53.7209958,-1.6657451,https://www.fairfieldschool.uk/
Bronte Girls' Secondary Academy,147067,BD4 7EB,53.7855637,-1.7455193,https://bga.iexel.org.uk/
Dixons McMillan Academy,141002,BD5 0JD,53.786417,-1.7652387,https://www.dixonsma.com/
