URN,LAESTAB,School name,Type of education,School type,School open date,Sixth Form,Religious character,Religious ethos,Faith grouping,Inspectorate,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Total number of pupils,Inspection number of latest REIF standard inspection,Inspection type,Inspection type grouping,Inspection start date,Publication date,Safeguarding standards,Inclusion,Curriculum and teaching,Achievement,Attendance and behaviour,Personal development and wellbeing,Early years (where applicable),Post-16 provision (where applicable),Leadership and governance,Inspection number of latest OEIF standard inspection,Inspection type of latest OEIF standard inspection,Inspection type grouping of latest OEIF standard inspection,Inspection start date of latest OEIF standard inspection,Publication date of latest OEIF standard inspection,Latest OEIF overall effectiveness,Latest OEIF quality of education,Latest OEIF behaviour and attitudes,Latest OEIF personal development,Latest OEIF effectiveness of leadership and management,Latest OEIF safeguarding is effective?,Latest OEIF early years provision (where applicable),Latest OEIF sixth form provision (where applicable),Most recent standard inspection: School complies with registration agreement (GIAS)?,Most recent standard inspection: Overall compliance with ISS,Most recent standard inspection: Part 1 overall,Most recent standard inspection: Part 2 overall,Most recent standard inspection: Part 3 overall,Most recent standard inspection: Part 4 overall,Most recent standard inspection: Part 5 overall,Most recent standard inspection: Part 6 overall,Most recent standard inspection: Part 7 overall,Most recent standard inspection: Part 8 overall,Most recent progress monitoring: inspection number,Most recent progress monitoring: inspection type,Most recent progress monitoring: start date,Most recent progress monitoring: academic year,Most recent progress monitoring: publication date,Most recent progress monitoring: overall outcome,
100082,2026385,College Francais Bilingue De Londres,Other Independent School,Other independent school,18/02/1992,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Camden,Holborn and St Pancras,NW5 3AX,698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391696,Independent School standard inspection,Independent Standard Inspection,16/09/2025,25/11/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100287,2046072,Yesodey Hatorah School,Other Independent School,Independent faith school,05/03/1958,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 5AE,203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10299150,Independent School standard inspection,Independent Standard Inspection,25/03/2025,19/05/2025,3,2,2,3,3,Yes,3,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100289,2046233,Talmud Torah Yetev Lev,Other Independent School,Other independent school,03/09/1959,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6AX,483,10427332,Independent School standard inspection,Independent standard inspection,27/01/2026,19/04/2026,Met,Needs attention,Urgent improvement,Needs attention,Expected standard,Urgent improvement,Urgent improvement,Not applicable,Urgent improvement,10286369,Independent School standard inspection,Independent Standard Inspection,06/02/2024,09/04/2024,4,4,2,4,4,Yes,NULL,NULL,N,Did not meet all standards,Not met,Not met,Met,Met,Met,Not met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100291,2046242,Bnois Jerusalem Girls School,Other Independent School,Independent faith school,11/05/1962,Does not have a sixth form,None,Orthodox Jewish,Jewish,Ofsted,London,London,Hackney,Tottenham,N16 5DL,615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10336092,Independent School standard inspection,Independent Standard Inspection,21/05/2024,01/07/2024,3,2,1,3,3,Yes,3,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,10425859,Independent school Progress Monitoring inspection,04/11/2025,2025/26,28/01/2026,Did not meet all standards that were checked,
100293,2046296,Beis Rochel d'Satmar Girls' School,Other Independent School,Independent faith school,03/01/1978,Has a sixth form,Orthodox Jewish,Orthodox Jewish,Jewish,Ofsted,London,London,Hackney,Tottenham,N16 5DL,1326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341979,Independent School standard inspection,Independent Standard Inspection,24/09/2024,10/11/2024,3,2,1,3,3,Yes,2,2,Y,Did not meet all standards,Not met,Not met,Not met,Met,Not met,Met,Met,Not met,10389149,Independent school Progress Monitoring inspection,26/03/2025,2024/25,20/05/2025,Did not meet all standards that were checked,
100294,2046331,Talmud Torah Machzikei Hadass School,Other Independent School,Independent faith school,22/12/1982,Does not have a sixth form,Charadi Jewish,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,E5 9SN,533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322559,Independent School standard inspection,Independent Standard Inspection,09/07/2024,10/09/2024,3,3,2,3,3,Yes,2,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100295,2046337,Beis Malka Girls' School,Other Independent School,Independent faith school,01/02/1982,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6XD,599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322560,Independent School standard inspection,Independent Standard Inspection,17/12/2024,27/02/2025,3,2,1,3,3,Yes,2,NULL,N,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100296,2046377,Talmud Torah Chaim Meirim Wiznitz School,Other Independent School,Independent faith school,24/02/1989,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6XB,241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322561,Independent School standard inspection,Independent Standard Inspection,02/07/2024,24/09/2024,3,3,2,3,3,Yes,NULL,NULL,Y,Did not meet all standards,Not met,Met,Met,Met,Met,Met,Met,Not met,10408993,Independent school Progress Monitoring inspection,10/07/2025,2024/25,11/09/2025,Did not meet all standards that were checked,
100298,2046385,Bobov Primary Boys School,Other Independent School,Independent faith school,09/07/1991,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6UE,221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10286370,Independent School standard inspection,Independent Standard Inspection,04/06/2024,09/09/2024,4,4,2,4,4,Yes,4,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,10433570,Independent school Progress Monitoring inspection,15/01/2026,2025/26,02/03/2026,Did not meet all standards that were checked,
100299,2046387,T T T Y Y School,Other Independent School,Independent faith school,30/06/1992,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 5NH,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10375098,Independent School standard inspection,Independent Standard Inspection,24/06/2025,21/07/2025,4,4,2,3,4,Yes,4,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100300,2046388,Tayyibah Girls' School,Other Independent School,Independent faith school,26/10/1992,Has a sixth form,None,Muslim,Muslim,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6JJ,173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10342954,Independent School standard inspection,Independent Standard Inspection,20/05/2025,03/07/2025,2,2,1,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100371,2056359,Ecole Francaise de Londres Jacques Provert,Other Independent School,Other independent school,19/11/1986,Not applicable,None,None,Non-faith,Ofsted,London,London,Hammersmith and Fulham,Hammersmith and Chiswick,W6 7BE,262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391697,Independent School standard inspection,Independent Standard Inspection,03/06/2025,08/07/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100372,2056382,Evergreen Primary School,Other Independent School,Independent faith school,22/11/1989,Does not have a sixth form,Islam,Muslim,Muslim,Ofsted,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 4QT,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391698,Independent School standard inspection,Independent Standard Inspection,16/09/2025,19/10/2025,2,2,2,2,2,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100375,2056386,L'Ecole des Petits School,Other Independent School,Other independent school,02/10/1990,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 2NB,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322563,Independent School standard inspection,Independent Standard Inspection,25/03/2025,11/05/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100516,2076104,St Philip's School,Other Independent School,Independent faith school,22/10/1957,Does not have a sixth form,Roman Catholic,Roman Catholic,Christian,Ofsted,London,London,Kensington and Chelsea,Kensington and Bayswater,SW7 4NE,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341980,Independent School standard inspection,Independent Standard Inspection,25/03/2025,14/05/2025,2,1,1,1,2,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100518,2076188,Hill House School,Other Independent School,Other independent school,27/03/1958,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Kensington and Chelsea,Kensington and Bayswater,SW1X 0EP,465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10375099,Independent School standard inspection,Independent Standard Inspection,01/07/2025,18/09/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
