LSOA code,Price Mar 2023
E01011949,"106,500"
E01011950,"43,500"
E01011951,"66,000"
E01011952,"60,000"
E01011953,"92,500"
E01011954,"104,000"
E01011955,"104,750"
E01011957,"78,000"
E01011959,"374,950"
E01011960,"194,500"
E01011961,"148,500"
E01011962,"167,500"
E01011963,"155,000"
E01011964,"138,000"
E01011965,"250,000"
E01011966,"168,000"
E01011967,"161,000"
E01011968,"151,250"
E01011969,"167,000"
E01011970,"175,000"
E01011971,"187,000"
E01011973,"42,750"
E01011974,"99,500"
E01011975,"60,000"
E01011976,"62,000"
E01011977,"91,500"
E01011978,"107,500"
E01011979,"90,000"
E01011980,"95,500"
E01011981,"88,500"
E01011982,"340,000"
E01011983,"242,500"
E01011984,"146,500"
E01011985,"117,475"
E01011986,"124,998"
E01011987,"85,000"
E01011988,"132,500"
E01011989,"133,250"
E01011990,"128,000"
E01011991,"140,000"
E01011992,"122,875"
E01011993,"93,000"
E01011994,"89,975"
E01011995,"165,500"
E01011996,"130,000"
E01011997,"155,000"
E01011998,"170,000"
E01011999,"59,975"
E01012000,"87,000"
E01012001,"125,000"
E01012002,"132,000"
E01012003,"225,000"
E01012005,"225,000"
E01032540,"140,000"
E01032541,"105,000"
E01033465,"192,000"
E01033466,"86,000"
E01033467,"170,000"
E01012007,"168,000"
E01012008,"165,000"
E01012009,"160,000"
E01012010,"260,000"
E01012011,"110,000"
E01012012,"131,500"
E01012013,"92,250"
E01012014,"100,000"
E01012015,"93,000"
E01012016,"83,625"
E01012017,"132,500"
E01012018,"115,250"
E01012019,:
E01012020,"120,000"
E01012021,"80,500"
E01012022,"190,500"
E01012023,"205,000"
E01012024,"156,500"
E01012025,"152,500"
E01012026,"140,000"
E01012027,"80,000"
E01012030,"191,500"
E01012031,"137,000"
E01012032,"220,000"
E01012033,"108,500"
E01012034,"249,999"
E01012035,"135,000"
E01012036,"70,000"
E01012037,"60,750"
E01012038,"65,000"
E01012039,"72,000"
E01012040,"61,000"
E01012041,:
E01012042,"122,250"
E01012043,"150,000"
E01012044,"130,000"
E01012045,"89,000"
E01012046,"177,500"
E01012047,"181,250"
E01012048,"180,000"
E01012049,"140,000"
E01012050,"89,950"
E01012051,"99,950"
E01012052,"172,500"
E01012053,"178,000"
E01012054,"138,250"
E01012055,"175,000"
E01012056,"95,000"
E01012057,"127,000"
E01012058,"55,000"
E01012059,"74,999"
E01012060,"96,475"
E01012061,"92,500"
E01012062,"186,500"
E01012063,"167,500"
E01012064,"174,250"
E01012065,"280,000"
E01012066,"213,500"
E01012067,"207,000"
E01012068,"63,000"
E01012071,"312,500"
E01012073,"215,000"
E01012074,"91,250"
E01012075,"81,000"
E01012076,:
E01012077,"105,000"
E01012078,"72,000"
E01012079,"135,000"
E01012080,"150,000"
E01012081,"144,500"
E01012082,"95,000"
E01012083,"91,300"
E01012084,"94,000"
E01012085,"78,250"
E01012088,"116,750"
E01012089,:
E01012090,"104,000"
E01012091,"100,000"
E01012092,"62,750"
E01012093,"70,000"
E01012094,"99,000"
E01032552,"152,500"
E01032553,"204,495"
E01032593,"310,500"
E01033468,"71,000"
E01033469,"90,000"
E01012095,"165,000"
E01012096,"65,000"
E01012097,"145,000"
E01012098,"155,750"
E01012099,"77,000"
E01012100,"84,750"
E01012101,"101,750"
E01012102,"86,000"
E01012105,"170,500"
E01012106,"141,000"
E01012107,"119,000"
E01012108,"124,000"
E01012109,"131,000"
E01012110,"105,000"
E01012111,"119,000"
E01012112,"84,500"
E01012113,"83,599"
E01012114,:
E01012117,"135,000"
E01012118,"106,500"
E01012119,"150,000"
E01012120,"200,000"
E01012121,"112,000"
E01012124,"290,000"
E01012127,:
E01012128,"90,000"
E01012129,"185,000"
E01012130,"165,000"
E01012131,"180,000"
E01012132,"85,500"
E01012134,"183,000"
E01012136,"87,500"
E01012137,"137,000"
E01012138,"245,875"
E01012139,"185,000"
E01012140,"89,500"
E01012141,"196,500"
E01012142,"140,000"
E01012143,"128,500"
E01012144,"133,000"
E01012145,"120,000"
E01012146,"173,500"
E01012147,"196,000"
E01012148,"87,000"
E01012149,"188,500"
E01012150,"101,500"
E01012151,"147,000"
E01012152,"290,000"
E01012154,"171,500"
E01012155,"159,000"
E01012156,"175,000"
E01012157,"175,000"
E01012158,"253,000"
E01012159,"154,000"
E01012160,"248,750"
E01012161,"210,000"
E01012162,"96,000"
E01012163,"195,000"
E01012164,"117,500"
E01012165,"126,055"
E01012167,"130,000"
E01012168,"98,500"
E01012170,"61,000"
E01012171,"115,000"
E01012172,"134,000"
E01012173,"165,000"
E01012174,"170,000"
E01012175,"105,000"
E01012176,"176,250"
E01012177,"200,000"
E01012178,"173,500"
E01012179,"191,500"
E01012180,"257,500"
E01012181,"105,000"
E01012182,"184,750"
E01012183,"187,750"
E01012184,"126,500"
E01012185,"145,000"
E01012186,"161,000"
E01032548,"292,000"
E01032549,"324,998"
E01032560,"175,000"
E01032561,"88,250"
E01032594,"190,000"
E01033470,"60,000"
E01033471,"86,000"
E01033472,"160,000"
E01033473,"87,498"
E01012187,"142,500"
E01012188,"160,000"
E01012189,"162,500"
E01012190,"152,400"
E01012191,"166,000"
E01012192,"154,750"
E01012193,"105,000"
E01012194,"93,500"
E01012195,:
E01012196,"110,000"
E01012197,"132,500"
E01012198,"90,625"
E01012199,"206,250"
E01012200,"180,000"
E01012201,"235,000"
E01012202,"141,000"
E01012203,"221,000"
E01012204,"217,000"
E01012205,"160,000"
E01012206,"182,000"
E01012207,"224,000"
E01012208,"201,257"
E01012209,"206,000"
E01012210,"308,000"
E01012211,"252,000"
E01012212,"185,975"
E01012213,"165,000"
E01012214,"95,000"
E01012215,"101,250"
E01012216,"95,000"
E01012217,"76,999"
E01012218,"201,500"
E01012219,"171,350"
E01012223,"287,500"
E01012224,"185,000"
E01012225,"195,000"
E01012226,"205,000"
E01012227,"166,500"
E01012228,"224,975"
E01012230,"188,500"
E01012231,"217,500"
E01012232,"227,500"
E01012233,"305,000"
E01012234,"285,000"
E01012235,"335,000"
E01012236,"163,500"
E01012237,"255,025"
E01012238,"93,500"
E01012239,"143,000"
E01012240,"147,500"
E01012241,"150,000"
E01012242,"153,000"
E01012243,"147,500"
E01012244,"150,500"
E01012245,"93,000"
E01012246,"161,750"
E01012247,"95,000"
E01012248,"135,000"
E01012249,"100,000"
E01012250,"135,000"
E01012251,"97,000"
E01012252,"73,000"
E01012253,"127,500"
E01012254,"66,125"
E01012255,"195,000"
E01012256,"185,000"
E01012257,"158,500"
E01012258,"115,000"
E01012259,"124,500"
E01012260,"159,750"
E01012261,"129,000"
E01012262,"70,000"
E01012264,"159,000"
E01012266,"134,000"
E01012267,"56,750"
E01012268,"132,500"
E01012269,"367,500"
E01012270,"188,750"
E01012271,"103,500"
E01012272,"139,500"
E01012273,"110,000"
E01012274,"135,000"
E01012275,"111,000"
E01012276,"126,000"
E01012277,"100,250"
E01012278,"112,500"
E01012279,"133,000"
E01012280,"143,500"
E01012281,"119,950"
E01012282,"105,000"
E01012283,"87,500"
E01012284,"80,000"
E01012285,"155,000"
E01012286,"73,750"
E01012287,"83,000"
E01012288,"68,000"
E01012289,"107,500"
E01012290,"180,000"
E01012291,"125,000"
E01012292,"128,548"
E01012294,"427,500"
E01012295,"107,500"
E01012296,"182,000"
E01012297,"238,750"
E01012298,"465,000"
E01012299,"210,000"
E01012300,"145,000"
E01012301,"237,500"
E01012302,"215,000"
E01012303,"195,750"
E01032542,"125,000"
E01032543,"88,500"
E01032544,"145,500"
E01033474,"198,150"
E01033475,"301,475"
E01033476,"429,950"
E01033477,"57,500"
E01033478,"269,000"
E01033479,"250,250"
E01033480,"305,000"
E01012304,"82,000"
E01012305,"77,475"
E01012306,"125,000"
E01012307,"103,000"
E01012309,"162,500"
E01012310,"165,000"
E01012311,"166,000"
E01012312,"130,000"
E01012313,"99,000"
E01012314,"100,000"
E01012315,"275,000"
E01012316,"228,500"
E01012317,"127,500"
E01012318,"130,000"
E01012319,"139,000"
E01012323,"115,000"
E01012324,"123,000"
E01012325,"141,000"
E01012326,"152,000"
E01012327,:
E01012328,"136,000"
E01012329,"171,000"
E01012330,"184,500"
E01012331,"97,500"
E01012332,"145,250"
E01012333,"145,000"
E01012334,"317,500"
E01012335,"263,500"
E01012336,"320,000"
E01012337,"250,500"
E01012338,"208,500"
E01012339,"309,995"
E01012340,"127,000"
E01012341,"86,000"
E01012342,"159,000"
E01012343,"144,995"
E01012344,"151,000"
E01012345,"290,000"
E01012346,"220,500"
E01012347,"245,000"
E01012348,"223,500"
E01012349,"66,500"
E01012350,"105,000"
E01012351,"138,000"
E01012352,"77,500"
E01012353,"70,000"
E01012354,"76,000"
E01012355,"98,000"
E01012356,"112,250"
E01012357,"99,000"
E01012358,"127,000"
E01012359,"110,000"
E01012360,"330,000"
E01012361,"295,000"
E01012362,"75,000"
E01012363,"130,000"
E01012364,"111,775"
E01012365,"178,000"
E01012366,"257,625"
E01032545,"128,000"
E01032546,"164,000"
E01033481,"195,000"
E01033482,"198,750"
E01033483,"82,000"
E01033484,"96,500"
E01012367,"100,000"
E01012368,"122,500"
E01012369,"217,500"
E01012370,"109,000"
E01012371,"185,000"
E01012372,"210,000"
E01012373,"195,000"
E01012374,"221,500"
E01012375,"366,000"
E01012376,"276,750"
E01012377,"170,000"
E01012378,"212,750"
E01012379,"145,000"
E01012380,"140,000"
E01012381,"133,875"
E01012382,:
E01012383,"125,000"
E01012384,"175,000"
E01012385,"340,000"
E01012386,"321,498"
E01012387,"312,500"
E01012388,"143,500"
E01012389,"227,000"
E01012390,"220,000"
E01012391,"150,000"
E01012392,"258,000"
E01012393,"293,500"
E01012394,"225,000"
E01012395,"306,750"
E01012396,"121,300"
E01012397,"125,000"
E01012398,"203,500"
E01012399,"132,250"
E01012400,"171,500"
E01012401,"256,500"
E01012402,"160,000"
E01012403,"180,000"
E01012404,"145,000"
E01012405,"165,250"
E01012406,"140,500"
E01012407,"127,500"
E01012408,"97,500"
E01012409,"120,000"
E01012410,"250,000"
E01012411,"187,500"
E01012412,"130,000"
E01012413,"176,000"
E01012414,"225,000"
E01012415,"310,000"
E01012416,"183,000"
E01012417,"130,000"
E01012418,"277,500"
E01012419,:
E01012420,"115,500"
E01012421,"230,000"
E01012422,"132,500"
E01012423,"182,500"
E01012424,"145,000"
E01012425,"159,000"
E01012426,"253,000"
E01012427,"191,500"
E01012428,"142,500"
E01012429,"133,000"
E01012430,"110,000"
E01012431,"110,000"
E01012432,"135,000"
E01012433,"120,000"
E01012434,"241,750"
E01012435,"365,625"
E01012436,"116,000"
E01012437,"117,000"
E01012438,"107,000"
E01012439,:
E01012440,"180,000"
E01012441,"108,750"
E01012442,"127,500"
E01012443,"180,000"
E01012444,"172,000"
E01012445,:
E01012446,"505,000"
E01012447,"668,750"
E01012448,"438,500"
E01012449,"460,000"
E01012450,"345,000"
E01012451,"290,000"
E01012452,"420,498"
E01012453,"170,500"
E01012454,"154,000"
E01012455,"150,000"
E01012457,"130,300"
E01012458,"180,500"
E01012459,"155,000"
E01012460,"237,500"
E01012461,"330,000"
E01012462,"223,125"
E01012463,"275,000"
E01012464,"235,000"
E01012465,"182,000"
E01012466,"168,800"
E01012467,"227,500"
E01012468,"365,000"
E01012469,"159,400"
E01012470,"190,000"
E01012471,"378,000"
E01012472,"440,000"
E01012473,"450,000"
E01012474,"251,000"
E01012475,"260,500"
E01012476,"258,500"
E01012477,"545,000"
E01012478,"224,000"
E01012479,"135,500"
E01012480,"121,000"
E01012481,"162,000"
E01012482,"136,500"
E01012483,"133,000"
E01012485,"323,000"
E01012486,"330,000"
E01012487,"307,500"
E01012488,"445,500"
E01012489,"458,750"
E01012490,"318,125"
E01012491,"265,000"
E01012492,"325,000"
E01012493,"260,000"
E01012494,"312,000"
E01012495,"233,500"
E01012496,"266,000"
E01012497,"204,000"
E01012498,"220,000"
E01012499,"235,000"
E01012500,"318,500"
E01012501,"207,000"
E01012502,"465,000"
E01012503,"442,500"
E01012504,"201,000"
E01012505,"181,250"
E01012506,"168,000"
E01012507,"175,000"
E01012508,"185,000"
E01012509,"235,500"
E01012510,"162,000"
E01012511,"145,000"
E01012512,"235,000"
E01012513,"383,757"
E01012514,"400,000"
E01012515,"288,000"
E01012516,"360,000"
E01012517,"375,000"
E01012518,"388,000"
E01012519,"340,000"
E01012520,"171,288"
E01012521,"195,500"
E01012522,"175,000"
E01012523,"156,000"
E01012524,"235,000"
E01012525,"134,658"
E01012526,"155,000"
E01012527,"247,000"
E01012528,"291,000"
E01012529,"220,000"
E01012530,"297,500"
E01012531,"249,950"
E01012532,"270,000"
E01012533,:
E01012534,"139,000"
E01012535,"163,000"
E01012536,"189,000"
E01012537,"167,000"
E01012538,"247,500"
E01012539,"180,000"
E01012540,"265,000"
E01012541,"222,250"
E01012542,"205,000"
E01012543,"224,300"
E01012544,"197,000"
E01012545,"180,000"
E01012546,"215,000"
E01012547,"252,500"
E01012548,"273,000"
E01012549,"270,000"
E01012550,"255,000"
E01012551,"280,500"
E01012552,"234,500"
E01012553,"350,000"
E01012554,"305,000"
E01012555,"293,500"
E01012556,"270,000"
E01012557,"293,000"
E01012558,"322,000"
E01012559,"407,000"
E01012560,"365,000"
E01012561,"194,000"
E01012562,"322,500"
E01012563,"340,000"
E01012564,"210,000"
E01012565,"188,750"
E01012566,"289,750"
E01012567,"350,500"
E01012568,"287,500"
E01012569,"315,000"
E01012570,"320,000"
E01033299,"165,000"
E01033300,"125,000"
E01033302,"155,000"
E01033303,"130,000"
E01012571,"94,250"
E01012572,:
E01012573,:
E01012574,"126,000"
E01012575,:
E01012576,"101,900"
E01012577,:
E01012578,"143,000"
E01012579,:
E01012580,"125,000"
E01012581,"195,000"
E01012582,"310,000"
E01012583,"250,000"
E01012584,"204,975"
E01012585,"140,000"
E01012586,"124,500"
E01012587,"120,000"
E01012588,"116,000"
E01012589,"92,500"
E01012590,"120,000"
E01012591,"150,000"
E01012592,"175,000"
E01012593,"105,000"
E01012594,"110,200"
E01012595,"88,556"
E01012596,"79,500"
E01012597,"205,000"
E01012598,"222,000"
E01012599,"112,500"
E01012600,"138,975"
E01012601,:
E01012602,"177,500"
E01012603,"120,000"
E01012604,"157,000"
E01012605,"135,000"
E01012606,"110,000"
E01012607,"176,500"
E01012608,"111,000"
E01012609,"217,498"
E01012610,"210,000"
E01012611,"226,000"
E01012612,"216,500"
E01012613,"223,995"
E01012614,"211,000"
E01012615,"150,000"
E01012616,"180,000"
E01012617,"125,000"
E01012618,"157,500"
E01012619,"95,750"
E01012620,"152,000"
E01012621,"120,000"
E01012622,"76,750"
E01012623,"110,000"
E01012624,"80,000"
E01012625,"79,000"
E01012628,"235,000"
E01012629,"80,000"
E01012630,"114,000"
E01012631,:
E01012632,"140,500"
E01012633,"177,000"
E01012634,"164,500"
E01012635,"135,000"
E01012636,"189,575"
E01012637,:
E01012638,"125,000"
E01012639,"93,250"
E01012640,"97,756"
E01012641,"95,500"
E01012642,"135,000"
E01012643,:
E01012644,:
E01012645,"120,000"
E01012646,"92,250"
E01012647,"135,000"
E01012648,"97,500"
E01012649,"100,000"
E01012650,"87,500"
E01012651,"135,000"
E01012652,"193,500"
E01012653,"110,000"
E01012654,"101,000"
E01012655,:
E01012656,"75,000"
E01012657,"89,000"
E01012658,"96,500"
E01012659,"127,000"
E01012660,"235,000"
E01012661,"110,000"
E01032485,"325,000"
E01032486,"370,000"
E01012662,"145,000"
E01012663,"154,000"
E01012664,"152,500"
E01012665,"150,000"
E01012666,"152,250"
E01012667,"182,000"
E01012668,"155,000"
E01012669,"116,350"
E01012670,"85,000"
E01012671,"86,500"
E01012672,"82,500"
E01012673,"75,000"
E01012674,"101,000"
E01012675,"97,500"
E01012676,"130,000"
E01012677,"160,000"
E01012678,:
E01012679,"90,000"
E01012680,"92,500"
E01012681,"82,000"
E01012682,"77,000"
E01012683,"110,000"
E01012684,"83,000"
E01012685,"114,000"
E01012686,"102,000"
E01012687,"112,000"
E01012688,"122,500"
E01012689,"146,000"
E01012690,"138,500"
E01012691,"125,350"
E01012692,"138,975"
E01012693,"125,000"
E01012694,"107,500"
E01012695,"120,000"
E01012696,"118,750"
E01012697,"130,000"
E01012698,"102,000"
E01012699,"168,750"
E01012700,"160,000"
E01012701,"130,000"
E01012702,"135,000"
E01012703,"158,250"
E01012704,"149,000"
E01012705,"121,500"
E01012706,"145,000"
E01012707,"95,000"
E01012708,"135,000"
E01012709,"92,000"
E01012710,"167,225"
E01012711,"122,500"
E01012712,"155,000"
E01012713,"125,000"
E01012714,"179,000"
E01012715,"128,000"
E01012716,"151,250"
E01012717,"211,475"
E01012718,"194,000"
E01012719,"154,998"
E01012720,"120,000"
E01012721,:
E01012722,"178,500"
E01012723,"145,000"
E01012724,"80,000"
E01012725,"174,750"
E01012726,"141,500"
E01012727,"210,000"
E01012728,"110,000"
E01012729,"160,000"
E01012730,"223,155"
E01012731,"120,000"
E01012732,"212,500"
E01012733,"113,500"
E01012734,"135,000"
E01012735,"135,000"
E01012736,"110,000"
E01012737,"90,000"
E01012738,"102,500"
E01012739,"110,000"
E01012740,"126,000"
E01012741,"132,500"
E01012742,"122,500"
E01012743,"108,000"
E01012744,"111,225"
E01012745,"117,000"
E01012746,"120,000"
E01012747,"222,725"
E01012748,"127,500"
E01012749,"163,375"
E01012750,"140,000"
E01012751,"112,500"
E01012752,"128,000"
E01012753,"178,500"
E01012754,"155,000"
E01012755,"184,000"
E01012756,"121,500"
E01012757,"130,500"
E01012758,"280,000"
E01012759,"110,000"
E01012760,"105,000"
E01012761,"95,000"
E01012762,"191,500"
E01012763,"151,200"
E01012764,"180,000"
E01012765,"135,000"
E01012766,"158,750"
E01012767,"166,000"
E01012768,"131,000"
E01012769,"160,000"
E01012770,"257,000"
E01012771,"161,000"
E01012772,"130,000"
E01012773,"125,000"
E01012774,"141,400"
E01012775,"135,000"
E01012776,"125,000"
E01012777,"245,000"
E01012778,"86,000"
E01012779,"65,000"
E01012780,"98,500"
E01012781,"87,500"
E01012782,"91,500"
E01012783,"80,000"
E01012784,"167,000"
E01012785,"78,250"
E01012786,"106,500"
E01012787,"80,000"
E01012788,"88,250"
E01012789,"116,000"
E01012790,"110,000"
E01012791,"185,000"
E01012792,"168,750"
E01012793,"190,000"
E01012794,"165,000"
E01012795,"134,000"
E01012796,"150,225"
E01012797,"131,000"
E01012798,"115,000"
E01012799,"120,000"
E01012800,"130,500"
E01012801,"145,000"
E01012802,"126,500"
E01012803,"123,000"
E01012804,"133,000"
E01012805,"75,000"
E01012806,"82,875"
E01012807,"185,000"
E01012808,"82,000"
E01012809,"70,000"
E01012810,"146,000"
E01012811,"125,500"
E01012812,"237,500"
E01012813,"180,000"
E01012814,"178,000"
E01012815,"137,500"
E01012816,"140,000"
E01012817,"105,000"
E01012818,"164,750"
E01012819,"117,500"
E01012820,"147,500"
E01012821,"205,745"
E01012822,"162,000"
E01012823,"123,000"
E01012824,"177,500"
E01012825,"156,500"
E01012826,"98,250"
E01012827,"137,500"
E01012828,"132,500"
E01012829,"152,000"
E01012830,"125,000"
E01012832,"170,000"
E01012833,"116,500"
E01012834,"94,000"
E01012835,"165,000"
E01012836,"112,174"
E01012837,"110,000"
E01012838,"95,000"
E01012839,"176,000"
E01012840,"107,500"
E01012841,"112,500"
E01012842,"102,000"
E01012843,"165,995"
E01012844,"83,500"
E01012845,"82,500"
E01012846,"93,000"
E01012847,"116,000"
E01012848,"85,000"
E01012849,"113,000"
E01012850,"120,000"
E01012851,"75,500"
E01012852,"115,000"
E01012854,"105,000"
E01012855,"80,000"
E01012856,"115,000"
E01012857,"88,000"
E01012858,"126,000"
E01012859,"75,000"
E01012860,"154,000"
E01012862,"90,000"
E01012863,"144,000"
E01012864,"97,550"
E01012865,"130,250"
E01012866,"105,000"
E01012867,"73,500"
E01012868,"100,000"
E01012869,"88,250"
E01012870,"90,000"
E01012871,"102,525"
E01012872,"108,500"
E01012873,"115,000"
E01012874,"96,750"
E01012875,:
E01012876,"83,500"
E01012877,"74,750"
E01012878,"85,500"
E01012879,"95,000"
E01012880,"120,000"
E01012881,"125,000"
E01012882,"160,000"
E01012883,"149,500"
E01012884,"148,250"
E01012886,"145,000"
E01012887,"122,500"
E01012888,"67,250"
E01012889,"75,500"
E01012891,"60,000"
E01012892,"76,000"
E01012893,"72,000"
