URN,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Name,Lat,Lon,Website,Attainment 8,Progress 8
107395,Titus Salt School,Secondary,Community School,,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Bradford,Shipley,,,,,BD17 5RH,3.0,1451.0,11,18,,10210916,S5 Inspection,S5 Inspection,Schools - S5,16/03/2022,15/05/2022,2.0,,2.0,2.0,3.0,2.0,Yes,9.0,2.0,Titus Salt School,53.8429142,-1.7940616,https://www.titussaltschool.co.uk/,39.1,-0.58
107439,Bingley Grammar School,Secondary,Voluntary Aided School,01/01/1900,Non-selective,Has a sixth form,,Does not apply,Non-faith,Bradford,Shipley,,,,,BD16 2RS,3.0,1932.0,11,18,,ITS400912,S5 Inspection,S5 Inspection,Schools - S5,12/03/2013,22/04/2013,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,Bingley Grammar School,53.8553895,-1.8467535,https://www.bingleygrammar.org/,48.9,-0.03
107802,Fairfield School,Special,Foundation Special School,,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,Kirklees,Spen Valley,,,,,WF17 8AS,4.0,125.0,3,19,1.0,ITS400937,S5 Inspection,S5 Inspection,Schools - S5,12/03/2013,19/04/2013,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,Fairfield School,53.7209958,-1.6657451,https://www.fairfieldschool.uk/,,
108079,Pudsey Grammar School,Secondary,Foundation School,,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Leeds,Leeds West and Pudsey,,,,,LS28 7ND,3.0,1321.0,11,18,,10087518,Requires Improvement S5 Reinspection Visit 2,Requires Improvement S5 Reinspection Visit 2,Schools - S5,16/04/2019,14/05/2019,2.0,,9.0,9.0,9.0,2.0,Yes,9.0,2.0,Pudsey Grammar School,53.8004092,-1.6591737,https://www.pudseygrammar.co.uk/,45.5,-0.12
108083,Benton Park School,Secondary,Community School,,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Leeds,Leeds North West,,,,,LS19 6LX,2.0,1519.0,11,18,,10289968,S5 Inspection,S5 Inspection,Schools - S5,25/10/2023,13/12/2023,3.0,,3.0,3.0,3.0,3.0,Yes,9.0,2.0,Benton Park School,53.8569646,-1.6829091,https://www.bentonpark.org.uk/,46.8,-0.15
108085,Guiseley School,Secondary,Foundation School,01/01/2014,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Leeds,Leeds North West,,,,,LS20 8DT,1.0,1417.0,11,18,,10121684,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,24/09/2019,21/10/2019,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,2.0,Guiseley School,53.8715377,-1.7179556,https://www.guiseleyschool.org.uk/,49.4,-0.04
121778,Brooklands School,Special,Community Special School,,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,North Yorkshire,Skipton and Ripon,,,,,BD23 2DB,1.0,101.0,4,19,,ITS425899,S5 Inspection,S5 Inspection,Schools - S5,16/10/2013,12/11/2013,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,Brooklands School,53.9544928,-2.0224166,https://www.brooklands.n-yorks.sch.uk/,,
130909,Dixons City Academy,Secondary,Academy Sponsor Led,01/09/2005,Non-selective,Does not have a sixth form,Does not apply,,Non-faith,Bradford,Bradford East,2939.0,DIXONS ACADEMIES TRUST,2937.0,Dixons Academies Trust,BD5 7RR,5.0,919.0,11,16,,10053766,S5 Inspection,S5 Inspection,Schools - S5,27/11/2018,20/12/2018,1.0,,9.0,9.0,9.0,1.0,Yes,9.0,1.0,Dixons City Academy,53.780192,-1.7569034,https://www.dixonsca.com/,51.8,0.33
134884,West Specialist Inclusive Learning Centre,Special,Community Special School,01/01/2005,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,Leeds,Leeds West and Pudsey,,,,,LS28 6HL,4.0,271.0,2,19,1.0,ITS402649,S5 Inspection,S5 Inspection,Schools - S5,03/07/2013,24/07/2013,2.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,West Specialist Inclusive Learning Centre (Mainsite),53.8088328,-1.6585998,https://www.westsilc.co.uk/,2.2,-1.44
135367,Bradford Academy,Secondary,Academy Sponsor Led,01/09/2007,Non-selective,Has a sixth form,Church of England,,Christian,Bradford,Bradford East,,,15911.0,The Diocese of West Yorkshire and the Dales,BD4 7QJ,5.0,1738.0,2,19,,10255672,S5 Inspection,S5 Inspection,Schools - S5,11/01/2023,20/03/2023,3.0,,3.0,3.0,3.0,3.0,Yes,2.0,2.0,Bradford Academy,53.776937,-1.7322263,https://www.bradfordacademy.co.uk/,33.1,-0.94
