"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","academy_eligibility","pupil_count","disadvantaged_pupil_percent","not_disadvantaged_pupil_percent","ks2_scaledscore_average","eal_pupil_percent","sen_pupil_percent","urns","school_count","converter_school_count","sponsored_school_count","free_school_count","studio_school_count","utc_school_count","disadvantaged_school_count","years3_school_count","years4_school_count","years5plus_school_count","progress8_banding"
"202425","Academic year","MAT","E92000001","England","TR00002","Abbey Multi Academy Trust","2046","7705552","10059141","Yorkshire and the Humber","Revised","Multi-academy trust","Included in MAT performance tables","587","31","69","z","25","12","137036;137083;144809","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00002","Abbey Multi Academy Trust","2046","7705552","10059141","Yorkshire and the Humber","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","587","31","69","z","25","12","137036;137083;144809","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00008","Lift Schools","2053","6625091","10033736","East of England","Revised","Multi-academy trust","Included in MAT performance tables","3805","37","63","z","17","21","133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334","21","2","19","0","0","0","21","1","0","20","z"
"202425","Academic year","MAT","E92000001","England","TR00008","Lift Schools","2053","6625091","10033736","East of England","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","3805","37","63","z","17","21","133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334","21","2","19","0","0","0","21","1","0","20","z"
"202425","Academic year","MAT","E92000001","England","TR00015","Academy Transformation Trust","2062","7846852","10039859","East of England","Revised","Multi-academy trust","Included in MAT performance tables","1520","36","64","z","15","20","138918;139043;139058;139062;139063;139288;139578;139867;139937;142594","10","4","6","0","0","0","10","0","0","10","z"
"202425","Academic year","MAT","E92000001","England","TR00015","Academy Transformation Trust","2062","7846852","10039859","East of England","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1520","36","64","z","15","20","138918;139043;139058;139062;139063;139288;139578;139867;139937;142594","10","4","6","0","0","0","10","0","0","10","z"
"202425","Academic year","MAT","E92000001","England","TR00024","The Active Learning Trust Limited","2075","7903002","10059514","East of England","Revised","Multi-academy trust","Included in MAT performance tables","644","36","64","z","10","14","138177;138373;139272","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00024","The Active Learning Trust Limited","2075","7903002","10059514","East of England","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","644","36","64","z","10","14","138177;138373;139272","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00059","Education Partnership Trust","3016","7950891","10059591","North West","Revised","Multi-academy trust","Included in MAT performance tables","488","30","70","z","10","14","138233;141028;142088","3","0","1","2","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00059","Education Partnership Trust","3016","7950891","10059591","North West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","645","29","71","z","10","14","138233;141028;142088;150966","4","0","2","2","0","0","4","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00078","Arden Multi Academy Trust","5671","7375267","10058364","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","854","19","81","z","7","15","135971;136333;136991;137008","4","3","1","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR00078","Arden Multi Academy Trust","5671","7375267","10058364","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","854","19","81","z","7","15","135971;136333;136991;137008","4","3","1","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR00081","Ark Schools","2157","5112090","10044534","London","Revised","Multi-academy trust","Included in MAT performance tables","3362","53","47","z","48","18","131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061;147832","22","1","15","6","0","0","22","0","0","22","z"
"202425","Academic year","MAT","E92000001","England","TR00081","Ark Schools","2157","5112090","10044534","London","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","3362","53","47","z","48","18","131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061;147832","22","1","15","6","0","0","22","0","0","22","z"
"202425","Academic year","MAT","E92000001","England","TR00082","Consilium Academies","15728","9495671","10061209","North East","Revised","Multi-academy trust","Included in MAT performance tables","995","37","63","z","16","17","138314;143845;144199;144200;144937;144990;145490","7","4","3","0","0","0","7","0","0","7","z"
"202425","Academic year","MAT","E92000001","England","TR00082","Consilium Academies","15728","9495671","10061209","North East","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","995","37","63","z","16","17","138314;143845;144199;144200;144937;144990;145490","7","4","3","0","0","0","7","0","0","7","z"
"202425","Academic year","MAT","E92000001","England","TR00089","The Arthur Terry Learning Partnership","2166","7730920","10034759","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","1082","33","67","z","12","16","136986;137209;138136;138137;144721;146493","6","5","1","0","0","0","6","1","0","5","z"
"202425","Academic year","MAT","E92000001","England","TR00089","The Arthur Terry Learning Partnership","2166","7730920","10034759","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1082","33","67","z","12","16","136986;137209;138136;138137;144721;146493","6","5","1","0","0","0","6","1","0","5","z"
"202425","Academic year","MAT","E92000001","England","TR00097","The Two Counties Trust","16093","7972029","10059639","East Midlands","Revised","Multi-academy trust","Included in MAT performance tables","1904","29","71","z","4","15","137158;137981;142725;142741;144391;145109;145966;146451;147400","9","7","2","0","0","0","9","0","0","9","z"
"202425","Academic year","MAT","E92000001","England","TR00097","The Two Counties Trust","16093","7972029","10059639","East Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1904","29","71","z","4","15","137158;137981;142725;142741;144391;145109;145966;146451;147400","9","7","2","0","0","0","9","0","0","9","z"
"202425","Academic year","MAT","E92000001","England","TR00103","Aspirations Academies Trust","2186","7867577","10059468","London","Revised","Multi-academy trust","Included in MAT performance tables","973","33","67","z","23","21","137009;138499;139711;140886;142126;145119;145121;147443","8","1","5","0","2","0","8","0","0","8","z"
"202425","Academic year","MAT","E92000001","England","TR00103","Aspirations Academies Trust","2186","7867577","10059468","London","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","973","33","67","z","23","21","137009;138499;139711;140886;142126;145119;145121;147443","8","1","5","0","2","0","8","0","0","8","z"
"202425","Academic year","MAT","E92000001","England","TR00105","Aston Community Education Trust","2195","7577113","10058668","Yorkshire and the Humber","Revised","Multi-academy trust","Included in MAT performance tables","592","27","73","z","7","20","136127;136718;143141","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00105","Aston Community Education Trust","2195","7577113","10058668","Yorkshire and the Humber","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","592","27","73","z","7","20","136127;136718;143141","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR00136","Matrix Academy Trust","3878","7654219","10053216","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","824","43","57","z","11","11","136885;137274;137771;143438;148521","5","3","2","0","0","0","5","0","1","4","z"
