time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,years_open,school_count,pupil_count,attainment8_sum,attainment8_average,engmath_entering_total,engmath_entering_percent,engmath_95_total,engmath_95_percent,engmath_94_total,engmath_94_percent,ebacc_entering_total,ebacc_entering_percent,ebacc_95_total,ebacc_95_percent,ebacc_94_total,ebacc_94_percent,ebacc_aps_sum,ebacc_aps_average,progress8_pupil_count,progress8_sum,progress8_average,progress8_lower_95_ci,progress8_upper_95_ci,progress8eng_sum,progress8eng_average,progress8eng_lower_95_ci,progress8eng_upper_95_ci,progress8mat_sum,progress8mat_average,progress8mat_lower_95_ci,progress8mat_upper_95_ci,progress8ebacc_sum,progress8ebacc_average,progress8ebacc_lower_95_ci,progress8ebacc_upper_95_ci,progress8open_sum,progress8open_average,progress8open_lower_95_ci,progress8open_upper_95_ci,gcse_entering_total,gcse_entering_percent,gcse_91_total,gcse_91_percent,ebacceng_entering_total,ebacceng_entering_percent,ebaccmat_entering_total,ebaccmat_entering_percent,ebaccsci_entering_total,ebaccsci_entering_percent,ebacchum_entering_total,ebacchum_entering_percent,ebacclan_entering_total,ebacclan_entering_percent,ebacceng_95_total,ebacceng_95_percent,ebaccmat_95_total,ebaccmat_95_percent,ebaccsci_95_total,ebaccsci_95_percent,ebacchum_95_total,ebacchum_95_percent,ebacclan_95_total,ebacclan_95_percent,ebacceng_94_total,ebacceng_94_percent,ebaccmat_94_total,ebaccmat_94_percent,ebaccsci_94_total,ebaccsci_94_percent,ebacchum_94_total,ebacchum_94_percent,ebacclan_94_total,ebacclan_94_percent,ebacceng_aps_sum,ebacceng_aps_average,ebaccmat_aps_sum,ebaccmat_aps_average,ebaccsci_aps_sum,ebaccsci_aps_average,ebacchum_aps_sum,ebacchum_aps_average,ebacclan_aps_sum,ebacclan_aps_average,attainment8eng_sum,attainment8eng_average,attainment8mat_sum,attainment8mat_average,attainment8ebacc_sum,attainment8ebacc_average,attainment8open_sum,attainment8open_average,attainment8open_gcse_sum,attainment8open_gcse_average,attainment8open_nongcse_sum,attainment8open_nongcse_average,attainment8ebacc_slotfill_total,attainment8ebacc_slotfill_average,attainment8open_slotfill_total,attainment8open_slotfill_average,ebacc_entering_0pillar_total,ebacc_entering_0pillar_percent,ebacc_entering_1pillar_total,ebacc_entering_1pillar_percent,ebacc_entering_2pillar_total,ebacc_entering_2pillar_percent,ebacc_entering_3pillar_total,ebacc_entering_3pillar_percent,ebacc_entering_4pillar_total,ebacc_entering_4pillar_percent,ebaccsci_combpath_entering_total,ebaccsci_combpath_entering_percent,ebaccsci_indpath_entering_total,ebaccsci_indpath_entering_percent,sci_triple_entering_total,sci_triple_entering_percent,geoghist_entering_total,geoghist_entering_percent,lan_multiple_entering_total,lan_multiple_entering_percent,art_subject_entering_total,art_subject_entering_percent,music_qual_entering_total,music_qual_entering_percent,art_qual_entering_total,art_qual_entering_percent,ebacceng_91_total,ebacceng_91_percent,ebaccmat_91_total,ebaccmat_91_percent,ebaccsci_91_total,ebaccsci_91_percent,ebacchum_91_total,ebacchum_91_percent,ebacclan_91_total,ebacclan_91_percent,ebacc_91_total,ebacc_91_percent,gcse_five_engmath_total,gcse_five_engmath_percent,progress8_pupil_percent,progress8_adjusted_total,progress8_adjusted_percent,progress8original_sum,progress8original_average,progress8original_lower_95_ci,progress8original_upper_95_ci,valueaddedsci_pupil_count,valueaddedsci_pupil_percent,valueaddedsci_sum,valueaddedsci_average,valueaddedsci_lower_95_ci,valueaddedsci_upper_95_ci,valueaddedhum_pupil_count,valueaddedhum_pupil_percent,valueaddedhum_sum,valueaddedhum_average,valueaddedhum_lower_95_ci,valueaddedhum_upper_95_ci,valueaddedlan_pupil_count,valueaddedlan_pupil_percent,valueaddedlan_sum,valueaddedlan_average,valueaddedlan_lower_95_ci,valueaddedlan_upper_95_ci,qual_entries_sum,qual_entries_average,gcse_entries_sum,gcse_entries_average,qual_entries_without_discounting_sum,qual_entries_without_discounting_average
202425,Academic year,National,E92000001,England,Revised,Converter academies,Total,Total,1648,326237,16142942.04,49.5,320759,98.3,166041,50.9,229662,70.4,143691,44,72415,22.2,97085,29.8,1441610.85,4.42,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,322610,98.9,321620,98.6,314801,96.5,321387,98.5,315916,96.8,276560,84.8,162522,49.8,213679,65.5,185433,56.8,165124,52.3,153373,55.5,102827,63.3,258144,79.1,245283,75.2,220546,69.8,186084,67.3,122795,75.6,1700321,5.21,1596515,4.89,1571580.88,4.82,1343983,4.12,865693.89,2.65,3415195,10.5,3193030,9.8,4746417.76,14.5,4788299.28,14.7,4157517.53,12.7,630781.75,1.9,921386,2.8,924801,2.8,4349,1.3,3298,1,4309,1.3,21545,6.6,149045,45.7,226349,69.4,89569,27.5,89392,27.4,27292,8.4,12136,3.7,132930,40.7,22966,7,152391,46.7,313277,96,317037,97.2,311471,98.6,270211,97.7,160483,98.7,140582,43.1,215106,65.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2669708.88,8.2,2494381,7.6,2687417,8.2
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,1 year,38,6484,288291.25,44.5,6343,97.8,2777,42.8,4104,63.3,2133,32.9,947,14.6,1336,20.6,25313.48,3.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6392,98.6,6357,98,6203,95.7,6360,98.1,6223,96,5496,84.8,2428,37.4,3776,58.2,3168,48.9,2691,43.2,2633,47.9,1512,62.3,4712,72.7,4493,69.3,3805,61.1,3315,60.3,1786,73.6,31094,4.8,28524,4.4,27757.5,4.28,23983,3.7,12764,1.97,62487,9.6,57048,8.8,84147,13,84609.25,13,70874,10.9,13735.25,2.1,17893,2.8,17890,2.8,115,1.8,73,1.1,101,1.6,478,7.4,3584,55.3,5075,78.3,1148,17.7,1148,17.7,604,9.3,216,3.3,2622,40.4,498,7.7,3009,46.4,6149,94.8,6212,95.8,6069,97.5,5272,95.9,2374,97.8,2046,31.6,3735,57.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,50211.11,7.7,46281,7.1,50740,7.8
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,10 years,43,8537,405790.76,47.5,8379,98.1,3911,45.8,5727,67.1,3515,41.2,1607,18.8,2287,26.8,35976.57,4.21,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8433,98.8,8402,98.4,8179,95.8,8394,98.3,8222,96.3,7353,86.1,3913,45.8,5334,62.5,4462,52.3,3917,47.6,3914,53.2,2397,61.3,6633,77.7,6131,71.8,5555,67.6,4789,65.1,2908,74.3,43007,5.04,39575,4.64,39230.5,4.6,34478,4.04,20338,2.38,86559,10.1,79150,9.3,118895,13.9,121186.76,14.2,105302.01,12.3,15884.75,1.9,23916,2.8,24158,2.8,127,1.5,113,1.3,124,1.5,507,5.9,4151,48.6,6200,72.6,2022,23.7,2022,23.7,676,7.9,327,3.8,3398,39.8,591,6.9,3891,45.6,8139,95.3,8277,97,8097,98.5,7164,97.4,3876,99.1,3438,40.3,5366,62.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,69422.13,8.1,64772,7.6,69971,8.2
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,11 years,62,12897,617276.76,47.9,12690,98.4,6092,47.2,8743,67.8,5256,40.8,2430,18.8,3367,26.1,54477.18,4.22,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,12759,98.9,12716,98.6,12419,96.3,12717,98.6,12463,96.6,10617,82.3,6069,47.1,8164,63.3,6823,52.9,6107,49,5432,51.2,3668,60.4,10007,77.6,9339,72.4,8312,66.7,6772,63.8,4455,73.4,65811,5.1,60716,4.71,59853.5,4.64,49075,3.81,31555,2.45,132206,10.3,121432,9.4,180152,14,183486.76,14.2,158615.76,12.3,24871,1.9,36200,2.8,36437,2.8,162,1.3,133,1,209,1.6,1094,8.5,6043,46.9,8993,69.7,3470,26.9,3470,26.9,758,5.9,397,3.1,5132,39.8,721,5.6,5847,45.3,12364,95.9,12492,96.9,12250,98.3,10306,97.1,5988,98.7,5139,39.8,8157,63.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,104370.08,8.1,97562,7.6,105107,8.1
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,12 years,136,26066,1232749.51,47.3,25561,98.1,12266,47.1,17584,67.5,11252,43.2,5064,19.4,7108,27.3,109653.74,4.21,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,25749,98.8,25661,98.4,25067,96.2,25624,98.3,25137,96.4,22065,84.7,12554,48.2,16421,63,13758,52.8,12203,48.5,11481,52,7362,58.6,20105,77.1,18812,72.2,16690,66.4,14260,64.6,9000,71.7,131155,5.03,121729,4.67,119316.5,4.58,102710,3.94,63695.75,2.44,263554,10.1,243458,9.3,360206.25,13.8,365531.26,14,312069.76,12,53461.5,2.1,72989,2.8,73648,2.8,402,1.5,296,1.1,387,1.5,1799,6.9,11930,45.8,19051,73.1,6086,23.3,6085,23.3,2215,8.5,870,3.3,10299,39.5,1676,6.4,11842,45.4,24909,95.6,25185,96.6,24707,98.3,21559,97.7,12393,98.7,10989,42.2,16299,62.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,210358.93,8.1,194917,7.5,211889,8.1
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,13 years,350,69986,3430315.75,49,68712,98.2,35081,50.1,48874,69.8,30025,42.9,15078,21.5,20341,29.1,305777.14,4.37,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,69150,98.8,68937,98.5,67407,96.3,68852,98.4,67740,96.8,59269,84.7,34011,48.6,45559,65.1,39261,56.1,34579,51,32360,54.6,21719,63.9,55297,79,52222,74.6,46843,69.2,39550,66.7,25862,76,362424,5.18,338898.5,4.84,333397.5,4.76,284790,4.07,181757.75,2.6,728076,10.4,677797,9.7,1007340.25,14.4,1017102.5,14.5,885180.75,12.6,131921.75,1.9,197560,2.8,198037,2.8,1016,1.5,734,1,881,1.3,4662,6.7,32668,46.7,49821,71.2,17921,25.6,17915,25.6,5865,8.4,2772,4,29058,41.5,4865,7,32852,46.9,67101,95.9,67897,97,66828,98.7,57894,97.7,33599,98.8,29332,41.9,45610,65.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,568848.28,8.1,531390,7.6,572735,8.2
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,14 years,617,127588,6669050.51,52.3,125814,98.6,71750,56.2,95106,74.5,61369,48.1,33647,26.4,43626,34.2,600759.33,4.71,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,126399,99.1,126103,98.8,123773,97,126041,98.8,124141,97.3,108919,85.4,69707,54.6,88596,69.4,79237,62.1,71749,57.8,65815,60.4,45670,65.5,104744,82.1,100840,79,92139,74.2,78008,71.6,54023,77.5,695167,5.45,661243.25,5.18,653181.38,5.12,560822,4.4,380973.39,2.99,1395552,10.9,1322486.5,10.4,1974659.76,15.5,1976352.25,15.5,1767394.25,13.9,208958,1.6,364149,2.9,365186,2.9,1385,1.1,1058,0.8,1473,1.2,7480,5.9,54823,43,82531,64.7,41610,32.6,41449,32.5,11303,8.9,5297,4.2,53241,41.7,9656,7.6,59961,47,123337,96.7,124782,97.8,122679,98.8,106991,98.2,68875,98.8,60232,47.2,89961,70.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1068855.87,8.4,1011295,7.9,1074949,8.4
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,15 years,24,5204,287753.5,55.3,5152,99,3142,60.4,4037,77.6,2533,48.7,1619,31.1,1966,37.8,26051.94,5.01,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,5169,99.3,5162,99.2,5080,97.6,5156,99.1,5093,97.9,4433,85.2,2906,55.8,3755,72.2,3444,66.2,3177,62.4,2808,63.3,2096,72.1,4325,83.1,4281,82.3,3945,77.5,3261,73.6,2378,81.8,29354,5.64,28977,5.57,28512.5,5.48,23932,4.6,17024,3.27,58910,11.3,57954,11.1,85573,16.4,85316.5,16.4,77758.5,14.9,7558,1.5,14951,2.9,15054,2.9,41,0.8,38,0.7,56,1.1,291,5.6,2245,43.1,3091,59.4,2002,38.5,2002,38.5,447,8.6,277,5.3,2217,42.6,484,9.3,2416,46.4,5058,97.2,5121,98.4,5033,98.8,4358,98.3,2881,99.1,2491,47.9,3848,73.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,44831.62,8.6,42678,8.2,45023,8.7
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,2 years,47,8451,403912.75,47.8,8322,98.5,4024,47.6,5674,67.1,2957,35,1433,17,1922,22.7,35369.84,4.19,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8358,98.9,8335,98.6,8097,95.8,8337,98.7,8152,96.5,6951,82.3,3397,40.2,5212,61.7,4554,53.9,4014,49.2,3661,52.7,2196,64.6,6463,76.5,6150,72.8,5481,67.2,4509,64.9,2540,74.8,42401,5.02,40216,4.76,39268.5,4.65,32658,3.86,18405,2.18,85282,10.1,80432,9.5,118293.5,14,119905.25,14.2,103307.5,12.2,16597.75,2,23690,2.8,23802,2.8,111,1.3,112,1.3,123,1.5,801,9.5,4347,51.4,6075,71.9,2077,24.6,2075,24.6,613,7.3,330,3.9,3544,41.9,542,6.4,4010,47.5,8062,95.4,8210,97.1,8045,98.7,6791,97.7,3347,98.5,2878,34.1,5297,62.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,67790.82,8,63159,7.5,68224,8.1
202425,Academic year,National,E92000001,England,Revised,Converter academies,Years open,3 years,24,4018,180338,44.9,3925,97.7,1685,41.9,2543,63.3,1616,40.2,574,14.3,852,21.2,15912.49,3.96,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,3957,98.5,3942,98.1,3838,95.5,3936,98,3869,96.3,3186,79.3,1982,49.3,2392,59.5,1933,48.1,1702,44,1499,47,1006,50.8,2981,74.2,2756,68.6,2424,62.7,1918,60.2,1266,63.9,19417,4.83,17748,4.42,17592,4.38,13928,3.47,9198,2.29,39041,9.7,35496,8.8,52684,13.1,53117,13.2,46520.5,11.6,6596.5,1.6,11170,2.8,11240,2.8,69,1.7,45,1.1,78,1.9,310,7.7,1900,47.3,3072,76.5,797,19.8,796,19.8,221,5.5,127,3.2,1753,43.6,246,6.1,1974,49.1,3808,94.8,3862,96.1,3792,98,3095,97.1,1931,97.4,1548,38.5,2317,57.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,31873,7.9,29903,7.4,32081,8
