time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,mat_performance_tables_eligibility,trust_type,sex,ethnicity_major,ethnicity_minor,sen_status,disadvantage_status,first_language,prior_attainment,trust_size_mainstream,years_in_trust,school_count,pupil_count,attainment8_sum,attainment8_average,engmath_entering_total,engmath_entering_percent,engmath_95_total,engmath_95_percent,engmath_94_total,engmath_94_percent,ebacc_entering_total,ebacc_entering_percent,ebacc_95_total,ebacc_95_percent,ebacc_94_total,ebacc_94_percent,ebacc_aps_sum,ebacc_aps_average,progress8_pupil_count,progress8_sum,progress8_average,progress8_lower_95_ci,progress8_upper_95_ci,progress8eng_sum,progress8eng_average,progress8eng_lower_95_ci,progress8eng_upper_95_ci,progress8mat_sum,progress8mat_average,progress8mat_lower_95_ci,progress8mat_upper_95_ci,progress8ebacc_sum,progress8ebacc_average,progress8ebacc_lower_95_ci,progress8ebacc_upper_95_ci,progress8open_sum,progress8open_average,progress8open_lower_95_ci,progress8open_upper_95_ci,gcse_entering_total,gcse_entering_percent,gcse_91_total,gcse_91_percent,ebacceng_entering_total,ebacceng_entering_percent,ebaccmat_entering_total,ebaccmat_entering_percent,ebaccsci_entering_total,ebaccsci_entering_percent,ebacchum_entering_total,ebacchum_entering_percent,ebacclan_entering_total,ebacclan_entering_percent,ebacceng_95_total,ebacceng_95_percent,ebaccmat_95_total,ebaccmat_95_percent,ebaccsci_95_total,ebaccsci_95_percent,ebacchum_95_total,ebacchum_95_percent,ebacclan_95_total,ebacclan_95_percent,ebacceng_94_total,ebacceng_94_percent,ebaccmat_94_total,ebaccmat_94_percent,ebaccsci_94_total,ebaccsci_94_percent,ebacchum_94_total,ebacchum_94_percent,ebacclan_94_total,ebacclan_94_percent,ebacceng_aps_sum,ebacceng_aps_average,ebaccmat_aps_sum,ebaccmat_aps_average,ebaccsci_aps_sum,ebaccsci_aps_average,ebacchum_aps_sum,ebacchum_aps_average,ebacclan_aps_sum,ebacclan_aps_average,attainment8eng_sum,attainment8eng_average,attainment8mat_sum,attainment8mat_average,attainment8ebacc_sum,attainment8ebacc_average,attainment8open_sum,attainment8open_average,attainment8open_gcse_sum,attainment8open_gcse_average,attainment8open_nongcse_sum,attainment8open_nongcse_average,attainment8ebacc_slotfill_total,attainment8ebacc_slotfill_average,attainment8open_slotfill_total,attainment8open_slotfill_average,ebacc_entering_0pillar_total,ebacc_entering_0pillar_percent,ebacc_entering_1pillar_total,ebacc_entering_1pillar_percent,ebacc_entering_2pillar_total,ebacc_entering_2pillar_percent,ebacc_entering_3pillar_total,ebacc_entering_3pillar_percent,ebacc_entering_4pillar_total,ebacc_entering_4pillar_percent,ebaccsci_combpath_entering_total,ebaccsci_combpath_entering_percent,ebaccsci_indpath_entering_total,ebaccsci_indpath_entering_percent,sci_triple_entering_total,sci_triple_entering_percent,geoghist_entering_total,geoghist_entering_percent,lan_multiple_entering_total,lan_multiple_entering_percent,art_subject_entering_total,art_subject_entering_percent,music_qual_entering_total,music_qual_entering_percent,art_qual_entering_total,art_qual_entering_percent,ebacceng_91_total,ebacceng_91_percent,ebaccmat_91_total,ebaccmat_91_percent,ebaccsci_91_total,ebaccsci_91_percent,ebacchum_91_total,ebacchum_91_percent,ebacclan_91_total,ebacclan_91_percent,ebacc_91_total,ebacc_91_percent,gcse_five_engmath_total,gcse_five_engmath_percent,progress8_pupil_percent,progress8_adjusted_total,progress8_adjusted_percent,progress8original_sum,progress8original_average,progress8original_lower_95_ci,progress8original_upper_95_ci,valueaddedsci_pupil_count,valueaddedsci_pupil_percent,valueaddedsci_sum,valueaddedsci_average,valueaddedsci_lower_95_ci,valueaddedsci_upper_95_ci,valueaddedhum_pupil_count,valueaddedhum_pupil_percent,valueaddedhum_sum,valueaddedhum_average,valueaddedhum_lower_95_ci,valueaddedhum_upper_95_ci,valueaddedlan_pupil_count,valueaddedlan_pupil_percent,valueaddedlan_sum,valueaddedlan_average,valueaddedlan_lower_95_ci,valueaddedlan_upper_95_ci,qual_entries_sum,qual_entries_average,gcse_entries_sum,gcse_entries_average,qual_entries_without_discounting_sum,qual_entries_without_discounting_average
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,Total,All multi-academy trust schools,Multi-academy trusts,Total,Total,Total,Total,Total,Total,Total,Total,Total,2221,407308,18747477.36,46,399053,98,181940,44.7,264155,64.9,167327,41.1,72879,17.9,102583,25.2,1662177.03,4.08,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,401802,98.6,399870,98.2,390796,95.9,399954,98.2,392166,96.3,343224,84.3,186393,45.8,245639,60.3,206116,50.6,180094,45.9,168461,49.1,108907,58.4,305121,74.9,285100,70,251422,64.1,210670,61.4,132618,71.1,2007097,4.93,1852162.63,4.55,1817184.38,4.46,1538166,3.78,941249.75,2.31,4032605,9.9,3704325.26,9.1,5464503,13.4,5546044.1,13.6,4555477.1,11.2,990567,2.4,1132867,2.8,1136653,2.8,6623,1.6,4744,1.2,6327,1.6,30648,7.5,191639,47.1,303785,74.6,88388,21.7,88242,21.7,29346,7.2,12747,3.1,157787,38.7,26933,6.6,188598,46.3,387938,95.2,391924,96.2,384574,98.1,331842,96.7,183658,98.5,162589,39.9,243622,59.8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,3227086.14,7.9,2953039,7.3,3255498,8
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,MAT performance tables eligibility,Eligible,Multi-academy trusts,Total,Total,Total,Total,Total,Total,Total,Total,Total,1385,248808,11345158.85,45.6,243656,97.9,109382,44,159687,64.2,105612,42.4,44888,18,63739,25.6,1009088.74,4.06,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,245345,98.6,244109,98.1,238810,96,244187,98.1,239379,96.2,212112,85.3,115712,46.5,148623,59.7,123877,49.8,107895,45.1,101866,48,66817,57.7,185118,74.4,172403,69.3,151585,63.3,127856,60.3,81608,70.5,1219418,4.9,1120752.13,4.5,1099108.38,4.42,937222,3.77,578912.75,2.33,2449432,9.8,2241504.26,9,3304349.5,13.3,3349873.09,13.5,2703050.59,10.9,646822.5,2.6,691551,2.8,692544,2.8,4152,1.7,2936,1.2,3842,1.5,17544,7.1,114722,46.1,188580,75.8,50804,20.4,50787,20.4,17533,7,7712,3.1,94883,38.1,16447,6.6,114809,46.1,236980,95.2,239170,96.1,234717,98.1,204670,96.5,114065,98.6,102641,41.3,146759,59,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1954565.28,7.9,1778357,7.1,1972295,7.9
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,MAT performance tables eligibility,Ineligible,Multi-academy trusts,Total,Total,Total,Total,Total,Total,Total,Total,Total,836,158500,7402318.51,46.7,155397,98,72558,45.8,104468,65.9,61715,38.9,27991,17.7,38844,24.5,653088.29,4.12,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,156457,98.7,155761,98.3,151986,95.9,155767,98.3,152787,96.4,131112,82.7,70681,44.6,97016,61.2,82239,51.9,72199,47.3,66595,50.8,42090,59.5,120003,75.7,112697,71.1,99837,65.3,82814,63.2,51010,72.2,787679,4.97,731410.5,4.61,718076,4.53,600944,3.79,362337,2.29,1583173,10,1462821,9.2,2160153.5,13.6,2196171.01,13.9,1852426.51,11.7,343744.5,2.2,441316,2.8,444109,2.8,2471,1.6,1808,1.1,2485,1.6,13104,8.3,76917,48.5,115205,72.7,37584,23.7,37455,23.6,11813,7.5,5035,3.2,62904,39.7,10486,6.6,73789,46.6,150958,95.2,152754,96.4,149857,98.1,127172,97,69593,98.5,59948,37.8,96863,61.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1272520.86,8,1174682,7.4,1283203,8.1
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,Sex,All multi-academy trust schools,Multi-academy trusts,Boys,Total,Total,Total,Total,Total,Total,Total,Total,2131,207714,9218797.53,44.4,203409,97.9,90512,43.6,132006,63.6,77998,37.6,31058,15,44575,21.5,821325.18,3.95,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,204842,98.6,203640,98,198837,95.7,203923,98.2,199938,96.3,174992,84.2,86363,41.6,113417,54.6,108274,52.1,90741,45.4,81047,46.3,45828,53.1,146385,70.5,147848,71.2,126990,63.5,103348,59.1,57254,66.3,961355,4.63,963385.13,4.64,920123.5,4.43,751262,3.62,411682,1.98,1931575,9.3,1926770.26,9.3,2730070,13.1,2630382.27,12.7,2149946.27,10.4,480436,2.3,574990,2.8,575078,2.8,3426,1.6,2520,1.2,3305,1.6,16927,8.1,103538,49.8,154453,74.4,45489,21.9,45381,21.8,18189,8.8,5215,2.5,58877,28.3,14229,6.9,77412,37.3,196717,94.7,199925,96.3,195487,97.8,167694,95.8,84841,98.2,75431,36.3,118956,57.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1641294.29,7.9,1495968,7.2,1655666,8
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,MAT performance tables eligibility by sex,Eligible,Multi-academy trusts,Boys,Total,Total,Total,Total,Total,Total,Total,Total,1340,127295,5595185.65,44,124623,97.9,54636,42.9,80158,63,49691,39,19251,15.1,27828,21.9,500119.86,3.93,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,125472,98.6,124739,98,121957,95.8,124912,98.1,122394,96.1,108571,85.3,54094,42.5,68863,54.1,65329,51.3,54618,44.6,49097,45.2,28203,52.1,89196,70.1,89783,70.5,76804,62.8,62902,57.9,35358,65.4,586366,4.61,584512.38,4.59,558077,4.38,459212,3.61,254461,2,1177777,9.3,1169024.76,9.2,1654892.5,13,1593491.39,12.5,1276372.64,10,317118.75,2.5,352109,2.8,351584,2.8,2150,1.7,1588,1.2,1998,1.6,9583,7.5,62285,48.9,96209,75.6,26188,20.6,26176,20.6,10858,8.5,3191,2.5,35599,28,8641,6.8,47630,37.4,120611,94.7,122379,96.1,119658,97.8,103846,95.6,53141,98.2,48013,37.7,71838,56.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,997598.4,7.8,903513,7.1,1006548,7.9
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,MAT performance tables eligibility by sex,Ineligible,Multi-academy trusts,Boys,Total,Total,Total,Total,Total,Total,Total,Total,791,80419,3623611.88,45.1,78786,98,35876,44.6,51848,64.5,28307,35.2,11807,14.7,16747,20.8,321205.32,3.99,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,79370,98.7,78901,98.1,76880,95.6,79011,98.2,77544,96.4,66421,82.6,32269,40.1,44554,55.4,42945,53.4,36123,46.6,31950,48.1,17625,54.6,57189,71.1,58065,72.2,50186,64.7,40446,60.9,21896,67.9,374989,4.66,378872.75,4.71,362046.5,4.5,292050,3.63,157221,1.96,753798,9.4,757745.5,9.4,1075177.5,13.4,1036890.88,12.9,873573.63,10.9,163317.25,2,222881,2.8,223494,2.8,1276,1.6,932,1.2,1307,1.6,7344,9.1,41253,51.3,58244,72.4,19301,24,19205,23.9,7331,9.1,2024,2.5,23278,28.9,5588,6.9,29782,37,76106,94.6,77546,96.4,75829,97.8,63848,96.1,31700,98.2,27418,34.1,47118,58.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,643695.89,8,592455,7.4,649118,8.1
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,Sex,All multi-academy trust schools,Multi-academy trusts,Girls,Total,Total,Total,Total,Total,Total,Total,Total,2154,199594,9528679.83,47.7,195644,98,91428,45.8,132149,66.2,89329,44.8,41821,21,58008,29.1,840851.85,4.21,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,196960,98.7,196230,98.3,191959,96.2,196031,98.2,192228,96.3,168232,84.3,100030,50.1,132222,66.2,97842,49,89353,46.5,87414,52,63079,63.1,158736,79.5,137252,68.8,124432,64.7,107322,63.8,75364,75.3,1045742,5.24,888777.5,4.45,897060.88,4.49,786904,3.94,529567.75,2.65,2101030,10.5,1777555,8.9,2734433,13.7,2915661.83,14.6,2405530.83,12.1,510131,2.6,557877,2.8,561575,2.8,3197,1.6,2224,1.1,3022,1.5,13721,6.9,88101,44.1,149332,74.8,42899,21.5,42861,21.5,11157,5.6,7532,3.8,98910,49.6,12704,6.4,111186,55.7,191221,95.8,191999,96.2,189087,98.4,164148,97.6,98817,98.8,87158,43.7,124666,62.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1585791.85,7.9,1457071,7.3,1599832,8
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,MAT performance tables eligibility by sex,Eligible,Multi-academy trusts,Girls,Total,Total,Total,Total,Total,Total,Total,Total,1352,121513,5749973.2,47.3,119033,98,54746,45.1,79529,65.4,55921,46,25637,21.1,35911,29.6,508968.88,4.19,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,119873,98.7,119370,98.2,116853,96.2,119275,98.2,116985,96.3,103541,85.2,61618,50.7,79760,65.6,58548,48.2,53277,45.5,52769,51,38614,62.7,95922,78.9,82620,68,74781,63.9,64954,62.7,46250,75.1,633052,5.21,536239.75,4.41,541031.38,4.45,478010,3.93,324451.75,2.67,1271655,10.5,1072479.5,8.8,1649457,13.6,1756381.7,14.5,1426677.95,11.7,329703.75,2.7,339442,2.8,340960,2.8,2002,1.6,1348,1.1,1844,1.5,7961,6.6,52437,43.2,92371,76,24616,20.3,24611,20.3,6675,5.5,4521,3.7,59284,48.8,7806,6.4,67179,55.3,116369,95.8,116791,96.1,115059,98.4,100824,97.4,60924,98.9,54628,45,74921,61.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,956966.88,7.9,874844,7.2,965747,7.9
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,MAT performance tables eligibility by sex,Ineligible,Multi-academy trusts,Girls,Total,Total,Total,Total,Total,Total,Total,Total,802,78081,3778706.63,48.4,76611,98.1,36682,47,52620,67.4,33408,42.8,16184,20.7,22097,28.3,331882.97,4.25,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,77087,98.7,76860,98.4,75106,96.2,76756,98.3,75243,96.4,64691,82.9,38412,49.2,52462,67.2,39294,50.3,36076,47.9,34645,53.6,24465,63.7,62814,80.4,54632,70,49651,66,42368,65.5,29114,75.8,412690,5.29,352537.75,4.52,356029.5,4.56,308894,3.96,205116,2.63,829375,10.6,705075.5,9,1084976,13.9,1159280.13,14.8,978852.88,12.5,180427.25,2.3,218435,2.8,220615,2.8,1195,1.5,876,1.1,1178,1.5,5760,7.4,35664,45.7,56961,73,18283,23.4,18250,23.4,4482,5.7,3011,3.9,39626,50.7,4898,6.3,44007,56.4,74852,95.9,75208,96.3,74028,98.4,63324,97.9,37893,98.6,32530,41.7,49745,63.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,628824.97,8.1,582227,7.5,634085,8.1
202425,Academic year,National,E92000001,England,Revised,All multi-academy trust schools,Ethnicity,All multi-academy trust schools,Multi-academy trusts,Total,Black / African / Caribbean / Black British,African,Total,Total,Total,Total,Total,Total,1863,20719,1001044.01,48.3,20499,98.9,9781,47.2,14181,68.4,9712,46.9,3736,18,5570,26.9,89433.19,4.32,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,20606,99.5,20550,99.2,20266,97.8,20547,99.2,20425,98.6,17896,86.4,10822,52.2,14041,67.8,10679,51.5,10312,50.5,9049,50.6,6070,56.1,16989,82,14860,71.7,13843,67.8,11549,64.5,7558,69.8,109645,5.29,95951,4.63,98207,4.74,81657,3.94,52937,2.55,219856,10.6,191902,9.3,295901.5,14.3,293384.51,14.2,246673.51,11.9,46711,2.3,59473,2.9,59782,2.9,138,0.7,85,0.4,148,0.7,1529,7.4,9107,44,15836,76.4,4589,22.1,4588,22.1,1223,5.9,590,2.8,6230,30.1,1281,6.2,7918,38.2,20178,97.4,20212,97.6,20046,98.1,17536,98,10631,98.2,9358,45.2,13227,63.8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,167857.17,8.1,154468,7.5,168691,8.1
