"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","subject","test_year","number_entries","percentage"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","All Subjects","Total",381,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","FSMQ","All Subjects","Total",5154,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Total",4831335,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 6 Performing Arts Graded Examination","All Subjects","Total",1208,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 7 Performing Arts Graded Examination","All Subjects","Total",739,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 8 Performing Arts Graded Examination","All Subjects","Total",434,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","All Subjects","Total",381185,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","All Subjects","Final year",358,"94"
202425,"Academic year","National","E92000001","England","Revised","All schools","FSMQ","All Subjects","Final year",5111,"99.2"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Final year",4751828,"98.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 6 Performing Arts Graded Examination","All Subjects","Final year",222,"18.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 7 Performing Arts Graded Examination","All Subjects","Final year",135,"18.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 8 Performing Arts Graded Examination","All Subjects","Final year",81,"18.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","All Subjects","Final year",376221,"98.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","All Subjects","Penultimate year",17,"4.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","FSMQ","All Subjects","Penultimate year",39,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Penultimate year",71565,"1.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","Grade 6 Performing Arts Graded Examination","All Subjects","Penultimate year",559,"46.3"
